company_name,contact_person,phone,whatsapp,email,website,address,city,country,product_interest,source,verified_date,notes
Joca Links Resources Nigeria Limited,,,07032111925,07032111925,,Agric Market Coker,Lagos,Nigeria,Security Doors/Door Hardware,jocadoors.sitesng.com + Facebook,2026-04-10,Import from Turkey/China/Israel - 现有供应商
Osinachi Global Concept Aluminum Enterprise,,,,,,"Lagos, Nigeria",Lagos,Nigeria,Aluminum Products/Roofing Sheets,ngcontacts.com,2026-04-10,铝制品生产商
Irenen Building & Engineering Company Limited,,,,,,"Lagos, Nigeria",Lagos,Nigeria,Building Materials Trading,ngcontacts.com,2026-04-10,建材贸易公司
MENTUS ALUMINIUM PRODUCTS COMPANY NIGERIA LTD,,,,,,"Lagos, Nigeria",Lagos,Nigeria,Aluminium/Building Materials,ngcontacts.com,2026-04-10,进出口 + 建筑材
O. STANBOND INTERNATIONAL COMPANY LIMITED,,,,,,"Lagos, Nigeria",Lagos,Nigeria,Building Materials/Water Pumps,ngcontacts.com,2026-04-10,进出口 + 建材供应
JE SESIANDS GLOBAL RESOURCES LIMITED,,,,,,"Lagos, Nigeria",Lagos,Nigeria,Wholesale Building Materials,lusha.com,2026-04-10,建材批发
Lange and Grant Commodities Limited,,,,,,"Lagos, Nigeria",Lagos,Nigeria,Building Materials,lusha.com,2026-04-10,建材贸易
3ka Global Energy Resources Ltd,,,,,,"Nigeria",,Nigeria,Builder Hardware,go4worldbusiness.com,2026-04-10,B2B 平台认证买家
Erario International,,,,,,"Nigeria",,Nigeria,Builder Hardware,go4worldbusiness.com,2026-04-10,B2B 平台认证买家
Kornerstone Ventures Limited,,,,,,"Nigeria",,Nigeria,Builder Hardware,go4worldbusiness.com,2026-04-10,B2B 平台认证买家
Firefinch,,,,,,"Nigeria",,Nigeria,Builder Hardware,go4worldbusiness.com,2026-04-10,B2B 平台认证买家
DOORS ARENA LAGOS,,07030491951,07030491951,,,Lagos,Nigeria,Doors/Door Hardware,Facebook,2026-04-10,门类产品经销商
Amaka unique home doors,,09034468156,09034468156,,2nd FLOOR Awaye plaza Coker orile,Lagos,Nigeria,Smart Doors/Door Hardware,Facebook,2026-04-10,智能门经销商
Endurance Trading,Ifeoluwa,,,,Lagos,Nigeria,Hardware Products,nigeria-client-finder.py,2026-04-10,五金产品采购商
