company_name,contact_person,whatsapp,phone,city,state,business_type,source,verified_date,notes
Hugo Enterprise,,+2348030619239,+2348030619239,Onitsha,Anambra,Building Materials Wholesaler,wa.me/hugoenterprice,2026-04-10,批发商，建材
Gold Chrome Building Materials,,+2349028463055,+2349028463055,Ogidi,Anambra,Building Materials Supplier,Facebook,2026-04-10,批发市场，建材
Twinsfaja Nigeria Ltd,,+2349017226942,+2349017226942,Lagos,Lagos,Building Materials Wholesaler,Facebook,2026-04-10,建材批发，70 家分店
Building Materials Wholesale,,+2348103332104,+2348143228243,Lagos,Lagos,Plumbing & Building Materials,Facebook,2026-04-10,建材 + 管道批发
Prince Trading Enterprise,,+2348066904452,+2348066904452,Lagos,Lagos,Door Supplier & Installer,Instagram,2026-04-10,门供应商 + 安装
LUMI DOORS Enterprises,,+2348066904452,+2348066904452,Ibeju,Lagos,Door Wholesaler,Facebook,2026-04-10,门批发商
Super Door Ltd,,+2348132429795,+2349077776335,Lagos,Lagos,Security Door Manufacturer,Instagram,2026-04-10,安全门制造商
Winnyz Furniture,,+2348136298279,+2348136298279,Ilupeju,Lagos,Door & Furniture Supplier,Facebook,2026-04-10,门 + 家具，工厂直销
Aries Wares,,+2347031059039,+2347031059039,Lagos,Lagos,Building Materials Supplier,Instagram,2026-04-10,建材供应商，实体店
Dams Locks,,+2347053082192,+2347053082192,Mushin,Lagos,Door Locks & Handles,TikTok,2026-04-10,门锁 + 把手批发
