company_name,phone,whatsapp,email,website,city,country,product_interest,source,client_type,found_date,message_sent,message_time
"Furniture hardware and accessories (@uno_hardware) - Instagram To order, click the link on our bio, ",2349077268175,2349077268175,,https://www.instagram.com/uno_hardware/,Nigeria,Nigeria,"""furniture hardware"" Lagos",Google Search,furniture_hardware,2026-04-16,yes,2026-04-16 22:03:07
"Mul-T-Lock Nigeria Ltd | Home page Call: 08035007255, 08036838643 | Email: sales@mul-t-lock.com.ng. ",2348035007255,2348035007255,sales@mul-t-lock.com.ng,https://www.mul-t-lock.com.ng/,Nigeria,Nigeria,"""door locks"" Lagos",Google Search,retailer,2026-04-16,yes,2026-04-16 22:03:38
Interior Handles N Accessories (@interiorhandlesnaccessories) Interior Handles N Accessories. 6301 l,2347032847348,2347032847348,,https://www.facebook.com/interiorhandlesnaccessories/,Nigeria,Nigeria,"""cabinet handles"" Nigeria",Google Search,retailer,2026-04-16,yes,2026-04-16 22:04:10
BOSS STAINLESS STEEL BUTT HINGES 4” inch - Mate Power Tools Supplied as a pair ( 2 x hinges ) with f,2347060744823,2347060744823,,https://matepowertools.com/product/boss-stainless-steel-butt-hinges-4-inch/,Nigeria,Nigeria,"""door hinges"" Nigeria",Google Search,retailer,2026-04-16,yes,2026-04-16 22:04:41
DOOR & ACCESSORIES SUPPLY (@abjdoors) · Abuja - Instagram Available for immediate delivery!! Height ,2348055921424,2348055921424,,https://www.instagram.com/abjdoors/,Nigeria,Nigeria,"""door handles"" Nigeria",Google Search,retailer,2026-04-16,yes,2026-04-16 22:05:13
the hardware store (@thehardwarestoreng) Your furniture accessories one stop shop. Wuye internationa,2348099245000,2348099245000,thehardwarestoreng@gmail.com,https://www.instagram.com/thehardwarestoreng/,Nigeria,Nigeria,"""hardware store"" Abuja",Google Search,furniture_hardware,2026-04-16,yes,2026-04-16 22:05:44
List of Computer Hardware Stores in Abuja - Finelib.com | Computer Hardware Stores   1AG- Placid Lim,2348036968766,2348036968766,,https://www.finelib.com/cities/abuja/computers/computer-hardware-stores,Nigeria,Nigeria,"""hardware store"" Abuja",Google Search,retailer,2026-04-16,yes,2026-04-16 22:06:15
"A to Z Tools & Hardware Nig Ltd (@AtoZToolsNigiria) Visit our store at: Suite GF11, Rhema mall. oppo",2349048161616,2349048161616,,https://www.facebook.com/AtoZToolsNigiria/,Nigeria,Nigeria,"""hardware store"" Abuja",Google Search,retailer,2026-04-16,yes,2026-04-16 22:06:46
A to Z TOOLS & HARDWARE We recently checked out ... Contact ‪+234 902 571 3864‬ LOCATION: Praff Mall,2349025713864,2349025713864,,https://www.instagram.com/p/CacxBTuMLzi/,Nigeria,Nigeria,"""hardware store"" Abuja",Google Search,retailer,2026-04-16,yes,2026-04-16 22:07:18
"Get the best smart door locks - Computer Village Mart Ikeja Lagos Nigeria-08060498353, 08063456676,0",2348063456676,2348063456676,,https://computervillagemart.com.ng/index.php?route=product/category&path=96_164&sort=pd.name&order=DESC&srsltid=AfmBOoo7eSYteXY5OJyK7ezVPCWuyZPgzZnXiPz4Yz6kekeGHD0i9DJO,Nigeria,Nigeria,"""door locks"" Lagos",Tavily,retailer,2026-04-16,yes,2026-04-16 22:20:23
