序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
1,002611,东方精工,SZ,17.85,3.48,29.96,44.88|2025年报,-,7.25亿|2025年报,5.10亿|2025三季报,3.97亿|2025半年报,2.76亿|2025一季报,5.01亿|2024年报,-,7.70亿|2025年报,5.40亿|2025三季报,4.16亿|2025半年报,2.81亿|2025一季报,5.40亿|2024年报,0.600,17.88,17.24,3.56,1.42,3569.26万,6.27亿,7.49,3.7633,217.29亿,178.84亿,1000010123,False
2,300824,北鼎股份,SZ,10.42,0.58,29.95,63.35|2025年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,0.060,10.46,10.30,1.12,1.17,354.26万,3674.91万,7.49,4.5252,34.00亿,32.98亿,1001247913,False
3,300972,万辰集团,SZ,210.50,2.34,29.95,358.09|2025年报,-,13.45亿|2025年报,8.55亿|2025三季报,4.72亿|2025半年报,2.15亿|2025一季报,2.94亿|2024年报,-,24.24亿|2025年报,15.91亿|2025三季报,8.70亿|2025半年报,3.88亿|2025一季报,6.03亿|2024年报,4.810,213.30,203.63,1.17,1.50,205.68万,4.31亿,7.49,26.5547,402.67亿,369.05亿,1002196463,False
4,603239,浙江仙通,SH,24.38,1.46,29.74,29.22|2025年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,0.350,24.46,24.01,1.55,0.53,418.61万,1.02亿,7.44,4.9780,66.00亿,66.00亿,1000326763,False
5,000960,锡业股份,SZ,35.41,3.90,29.63,36.14|2025年报,-,19.66亿|2025年报,17.45亿|2025三季报,10.62亿|2025半年报,4.99亿|2025一季报,14.44亿|2024年报,-,21.10亿|2025年报,18.45亿|2025三季报,11.28亿|2025半年报,5.08亿|2025一季报,15.70亿|2024年报,1.330,35.66,34.20,3.69,1.28,6068.21万,21.22亿,7.41,2.9752,582.65亿,582.65亿,1000001449,False
6,300893,松原安全,SZ,22.90,0.75,29.56,40.70|2025年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,0.170,22.98,22.45,1.26,0.82,317.33万,7215.71万,7.39,5.3110,108.32亿,57.45亿,1001893726,False
7,688236,春立医疗,SH,20.83,0.05,29.32,118.05|2025年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5807.11万|2025一季报,1.25亿|2024年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5803.06万|2025一季报,1.25亿|2024年报,0.010,21.59,20.70,0.78,1.22,225.88万,4721.78万,7.33,2.6762,79.90亿,60.08亿,1002231962,False
8,300389,艾比森,SZ,19.98,0.10,29.28,115.47|2025年报,-,2.52亿|2025年报,1.85亿|2025三季报,1.16亿|2025半年报,3641.00万|2025一季报,1.17亿|2024年报,-,2.46亿|2025年报,1.81亿|2025三季报,1.13亿|2025半年报,3387.13万|2025一季报,1.03亿|2024年报,0.020,20.08,19.78,4.18,0.63,917.70万,1.83亿,7.32,4.5014,73.75亿,43.84亿,1000011662,False
9,002259,升达林业,SZ,5.12,-0.58,29.22,998.75|2025年报,-,1.32亿|2025年报,1959.01万|2025三季报,1406.66万|2025半年报,1136.77万|2025一季报,1199.87万|2024年报,-,1.30亿|2025年报,1798.61万|2025三季报,1296.76万|2025半年报,1080.45万|2025一季报,1053.01万|2024年报,-0.030,5.20,5.02,3.24,0.80,2437.36万,1.24亿,7.30,10.1344,38.52亿,38.52亿,1000007206,False
10,603501,豪威集团,SH,93.71,1.52,29.21,21.73|2025年报,-,40.45亿|2025年报,32.10亿|2025三季报,20.28亿|2025半年报,8.66亿|2025一季报,33.23亿|2024年报,-,40.32亿|2025年报,31.99亿|2025三季报,20.20亿|2025半年报,8.62亿|2025一季报,32.84亿|2024年报,1.400,94.17,92.49,1.38,1.04,1664.50万,15.54亿,7.30,4.2300,1181.82亿,1134.27亿,1000498858,False
