序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
1,600584,长电科技,SH,43.73,0.32,49.99,0.140,44.02,43.20,2.47,0.71,4424.33万,19.31亿,12.50,2.7293,782.51亿,782.51亿,1000001714,False
2,688271,联影医疗,SH,114.51,0.45,49.99,0.510,115.00,113.43,0.48,1.01,399.09万,4.56亿,21.06,4.3712,943.74亿,943.74亿,1002895591,False
3,688798,艾为电子,SH,67.94,1.10,49.96,0.740,68.09,67.01,2.19,1.31,296.66万,2.01亿,12.49,3.7745,158.39亿,92.22亿,1002401505,False
4,300623,捷捷微电,SZ,28.61,0.03,49.94,0.010,28.75,28.36,1.59,0.97,1217.04万,3.48亿,12.49,3.9470,238.06亿,219.54亿,1000350710,False
5,000803,山高环能,SZ,8.29,1.10,49.93,0.090,8.33,8.13,2.24,0.58,1029.30万,8467.10万,18.37,2.6330,38.66亿,38.12亿,1000000855,False
6,300398,飞凯材料,SZ,29.20,5.57,49.92,1.540,29.67,27.44,9.91,1.57,5589.42万,16.06亿,14.23,3.3643,165.55亿,164.64亿,1000305978,False
7,688486,龙迅股份,SH,67.95,5.45,49.92,3.510,68.67,66.15,3.06,1.59,407.72万,2.76亿,59.48,5.6709,90.60亿,90.59亿,1002422299,False
8,603928,兴业股份,SH,14.85,0.95,49.90,0.140,14.89,14.61,1.03,0.99,269.57万,3980.44万,13.14,2.5109,38.92亿,38.92亿,1000385952,False
9,301397,溯联股份,SZ,36.94,7.23,49.88,2.490,37.20,34.40,12.00,1.07,848.60万,3.07亿,14.19,2.9344,57.50亿,26.13亿,1002687776,False
10,000426,兴业银锡,SZ,44.75,2.01,49.85,0.880,45.19,43.78,2.95,0.87,5245.53万,23.33亿,14.56,8.6762,794.60亿,794.40亿,1000001817,False
11,000034,神州数码,SZ,35.93,2.95,49.81,1.030,36.10,34.90,3.51,1.17,2129.22万,7.60亿,12.45,2.3667,260.49亿,217.85亿,1000009572,False
12,600650,锦江在线,SH,12.82,1.58,49.81,0.200,12.88,12.63,1.01,1.06,393.62万,5026.03万,12.45,1.6019,70.72亿,50.07亿,1000002169,False
13,603130,云中马,SH,37.88,2.02,49.81,0.750,37.97,37.10,1.16,1.31,159.14万,5968.43万,12.45,3.6673,52.09亿,52.09亿,1002793746,False
14,920455,汇隆活塞,BJ,7.64,0.92,49.79,0.070,7.65,7.49,0.55,0.81,51.24万,389.76万,12.45,3.9385,13.56亿,7.16亿,1000503827,False
15,301289,国缆检测,SZ,55.66,0.49,49.74,0.270,55.99,54.84,0.74,1.02,57.05万,3164.46万,16.44,4.3929,43.41亿,43.14亿,1002668540,False
16,002161,远 望 谷,SZ,7.34,1.38,49.72,0.100,7.36,7.15,2.29,0.87,1611.83万,1.18亿,9.38,3.2311,54.30亿,51.73亿,1000007011,False
17,688006,杭可科技,SH,30.31,3.27,49.67,0.960,31.68,29.50,4.12,1.66,2485.00万,7.62亿,12.42,3.3935,182.97亿,182.97亿,1001535757,False
18,300827,上能电气,SZ,38.13,1.90,49.62,0.710,38.40,37.25,5.98,0.66,2301.86万,8.75亿,17.07,5.2386,212.27亿,146.89亿,1000818965,False
19,301011,华立科技,SZ,22.19,3.40,49.61,0.730,22.28,21.46,2.42,1.40,355.16万,7812.77万,12.40,3.5742,34.25亿,32.52亿,1002218866,False
20,920005,鼎佳精密,BJ,36.06,-0.55,49.61,-0.200,36.53,36.04,1.68,0.75,36.10万,1307.36万,13.78,4.6366,29.93亿,7.75亿,1003356294,False
21,603081,大丰实业,SH,12.22,0.99,49.61,0.120,12.27,12.05,1.18,1.04,498.42万,6059.55万,14.02,1.6149,51.63亿,51.63亿,1000501654,False
22,920405,海希通讯,BJ,20.81,0.63,49.59,0.130,21.02,20.61,0.92,0.68,100.76万,2089.98万,15.17,3.5874,29.19亿,22.91亿,1000379773,False
23,600276,恒瑞医药,SH,57.47,-0.45,49.47,-0.260,58.00,57.02,0.91,0.83,5767.18万,33.12亿,12.37,6.2253,3814.40亿,3661.21亿,1000001934,False
24,300031,宝通科技,SZ,21.38,2.20,49.45,0.460,21.48,21.07,2.36,1.54,830.31万,1.77亿,10.72,2.2040,89.53亿,75.24亿,1000008111,False
25,300192,科德教育,SZ,19.72,4.23,49.45,0.800,19.90,18.88,4.24,1.74,1377.02万,2.69亿,17.55,6.8465,64.91亿,64.02亿,1000008737,False
26,600392,盛和资源,SH,25.41,3.46,49.38,0.850,25.50,24.43,4.29,0.97,7518.74万,18.88亿,14.14,3.3472,445.39亿,445.39亿,1000001713,False
27,603678,火炬电子,SH,33.20,0.27,49.38,0.090,33.29,32.90,1.62,0.85,768.62万,2.55亿,12.34,2.5809,157.89亿,157.89亿,1000319212,False
28,600237,铜峰电子,SH,9.38,-1.16,49.34,-0.110,9.48,9.24,6.11,1.15,3817.11万,3.57亿,12.34,3.0153,59.16亿,58.59亿,1000001806,False
