序号,代码,名称,市场代码简称,最新价(元) 2026.04.15,涨跌幅(%) 2026.04.15,市盈率(TTM)(倍) 2026.04.15,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.15,最高价(元) 2026.04.15,最低价(元) 2026.04.15,换手率(%) 2026.04.15,量比 2026.04.15,成交量(股) 2026.04.15,成交额(元) 2026.04.15,市盈率(动)(倍) 2026.04.15,市净率(倍) 2026.04.15,总市值(元) 2026.04.15,流通市值(元) 2026.04.15,CHOICE_INNER_CODE,IN_OPTIONAL
1,300824,北鼎股份,SZ,10.36,0.29,29.78,63.35|2025年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,0.030,10.53,10.30,1.21,1.31,383.85万,3998.75万,7.44,4.4992,33.81亿,32.79亿,1001247913,False
2,600699,均胜电子,SH,25.55,-1.01,29.66,39.08|2025年报,-,13.36亿|2025年报,11.20亿|2025三季报,7.08亿|2025半年报,3.40亿|2025一季报,9.60亿|2024年报,-,16.16亿|2025年报,13.63亿|2025三季报,9.09亿|2025半年报,4.03亿|2025一季报,13.26亿|2024年报,-0.260,26.47,25.41,2.50,0.82,3388.35万,8.79亿,7.42,2.2873,396.22亿,346.22亿,1000001818,False
3,301345,涛涛车业,SZ,221.74,1.16,29.62,89.29|2025年报,-,8.16亿|2025年报,6.07亿|2025三季报,3.42亿|2025半年报,8621.04万|2025一季报,4.31亿|2024年报,-,8.16亿|2025年报,6.07亿|2025三季报,3.42亿|2025半年报,8620.83万|2025一季报,4.31亿|2024年报,2.540,224.80,216.66,3.50,0.70,122.49万,2.71亿,7.41,6.6788,241.81亿,77.67亿,1002315746,False
4,300893,松原安全,SZ,22.73,2.85,29.35,40.70|2025年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,0.630,22.90,21.90,2.13,1.66,534.67万,1.21亿,7.34,5.2716,107.51亿,57.02亿,1001893726,False
5,603239,浙江仙通,SH,24.03,-1.19,29.32,29.22|2025年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,-0.290,24.57,23.96,1.72,0.49,466.40万,1.13亿,7.33,4.9065,65.05亿,65.05亿,1000326763,False
6,688236,春立医疗,SH,20.82,2.01,29.30,118.05|2025年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5807.11万|2025一季报,1.25亿|2024年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5803.06万|2025一季报,1.25亿|2024年报,0.410,20.85,20.39,0.90,1.47,259.93万,5374.19万,7.33,2.6749,79.86亿,60.05亿,1002231962,False
7,300972,万辰集团,SZ,205.69,5.56,29.26,358.09|2025年报,-,13.45亿|2025年报,8.55亿|2025三季报,4.72亿|2025半年报,2.15亿|2025一季报,2.94亿|2024年报,-,24.24亿|2025年报,15.91亿|2025三季报,8.70亿|2025半年报,3.88亿|2025一季报,6.03亿|2024年报,10.840,207.68,194.00,0.90,1.24,158.60万,3.21亿,7.32,25.9479,393.47亿,360.62亿,1002196463,False
8,300389,艾比森,SZ,19.96,-1.53,29.25,115.47|2025年报,-,2.52亿|2025年报,1.85亿|2025三季报,1.16亿|2025半年报,3641.00万|2025一季报,1.17亿|2024年报,-,2.46亿|2025年报,1.81亿|2025三季报,1.13亿|2025半年报,3387.13万|2025一季报,1.03亿|2024年报,-0.310,20.49,19.93,4.77,0.68,1047.00万,2.11亿,7.31,4.4969,73.67亿,43.80亿,1000011662,False
9,002611,东方精工,SZ,17.25,-1.88,28.95,44.88|2025年报,-,7.25亿|2025年报,5.10亿|2025三季报,3.97亿|2025半年报,2.76亿|2025一季报,5.01亿|2024年报,-,7.70亿|2025年报,5.40亿|2025三季报,4.16亿|2025半年报,2.81亿|2025一季报,5.40亿|2024年报,-0.330,17.76,17.15,2.80,1.05,2805.09万,4.89亿,7.24,3.6368,209.98亿,172.83亿,1000010123,False
10,601059,信达证券,SH,16.90,-0.76,28.94,38.74|2025年报,-,18.94亿|2025年报,13.54亿|2025三季报,10.24亿|2025半年报,2.05亿|2025一季报,13.65亿|2024年报,-,19.51亿|2025年报,13.81亿|2025三季报,10.32亿|2025半年报,2.09亿|2025一季报,14.15亿|2024年报,-0.130,17.10,16.88,0.15,0.56,479.52万,8131.64万,7.24,2.6011,548.07亿,548.07亿,1002507820,False
