序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,总市值(元) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
1,601398,工商银行,SH,7.46,-0.53,2.66万亿,7.21,-0.040,7.54,7.43,0.08,1.01,2.28亿,17.02亿,1.80,0.6889,2.01万亿,1000000973,False
2,601939,建设银行,SH,9.45,-0.11,2.47万亿,7.29,-0.010,9.58,9.40,1.10,1.64,1.06亿,10.05亿,1.82,0.7138,906.60亿,1000001073,False
3,601288,农业银行,SH,7.00,0.72,2.45万亿,8.42,0.050,7.10,6.91,0.14,1.35,4.44亿,31.11亿,2.10,0.8858,2.23万亿,1000000722,False
4,601857,中国石油,SH,11.65,-0.94,2.13万亿,13.55,-0.110,11.77,11.56,0.09,0.92,1.54亿,17.86亿,3.39,1.3443,1.89万亿,1000004161,False
5,300750,宁德时代,SZ,453.98,5.33,2.07万亿,26.24,22.980,460.00,433.02,1.49,1.59,6350.62万,285.17亿,24.98,6.3399,1.93万亿,1001194744,False
6,600941,中国移动,SH,93.66,-0.05,2.03万亿,14.80,-0.050,93.97,93.58,0.64,0.90,582.08万,5.46亿,3.70,1.4560,845.53亿,1002662887,False
7,601988,中国银行,SH,5.79,0.00,1.87万亿,7.68,0.000,5.87,5.76,0.09,0.93,1.89亿,10.97亿,1.92,0.6925,1.22万亿,1000002490,False
8,600519,贵州茅台,SH,1462.84,-0.32,1.83万亿,20.35,-4.660,1477.41,1460.00,0.20,0.92,245.13万,35.97亿,7.09,8.0675,1.83万亿,1000002162,False
9,600938,中国海油,SH,36.96,0.19,1.76万亿,14.39,0.070,37.19,36.45,1.73,0.86,5163.28万,19.00亿,3.60,2.1884,1105.10亿,1002842127,False
10,601138,工业富联,SH,59.32,2.59,1.18万亿,33.36,1.500,59.99,57.40,0.91,0.97,1.81亿,106.51亿,8.34,7.0582,1.18万亿,1001298639,False
