序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,量比 2026.04.16,换手率(%) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,CHG<70>{2026-04-16},IN_OPTIONAL
1,920249,利尔达,BJ,9.77,23.83,5.54,28.95,1.880,10.25,8.03,3608.80万,3.41亿,24.33,5.4033,41.19亿,12.18亿,1000392582,23.83,False
2,300027,华谊兄弟,SZ,2.09,20.11,2.82,15.60,0.350,2.09,2.00,3.88亿,8.07亿,-12.73,22.0337,57.99亿,51.94亿,1000008230,20.11,False
3,300798,锦鸡股份,SZ,13.42,20.04,1.90,21.41,2.240,13.42,11.08,8167.10万,9.99亿,-103.34,3.7448,62.92亿,51.19亿,1001247925,20.04,False
4,301148,嘉戎技术,SZ,60.23,20.00,6.33,14.97,10.040,60.23,50.19,881.46万,5.12亿,34.27,3.9884,70.17亿,35.46亿,1002348646,20.00,False
5,301603,乔锋智能,SZ,90.41,20.00,5.66,32.64,15.070,90.41,79.20,1231.54万,10.66亿,9.87,4.5613,109.18亿,34.11亿,1003128351,20.00,False
6,688227,品高股份,SH,84.47,20.00,2.82,6.89,14.080,84.47,69.42,779.02万,6.07亿,-72.70,7.5279,95.50亿,95.50亿,1002288876,20.00,False
7,688668,鼎通科技,SH,207.23,20.00,1.92,9.46,34.540,207.23,176.50,1317.29万,25.88亿,89.82,14.0289,288.61亿,288.61亿,1002227735,20.00,False
8,300736,百邦科技,SZ,23.78,19.98,2.41,18.70,3.960,23.78,19.24,2338.69万,5.21亿,-44.24,35.5782,30.42亿,29.75亿,1000576702,19.98,False
9,688287,*ST观典,SH,2.35,19.90,2.53,17.24,0.390,2.35,2.05,6387.70万,1.43亿,-3.02,1.3934,8.71亿,8.71亿,1002747223,19.90,False
10,301382,蜂助手,SZ,40.49,15.69,6.91,30.11,5.490,42.00,36.88,5308.70万,21.27亿,21.50,6.2423,115.64亿,71.38亿,1002424569,15.69,False
11,301282,金禄电子,SZ,45.45,15.06,1.54,24.31,5.950,45.70,38.80,2857.96万,12.11亿,19.00,3.9986,68.69亿,53.44亿,1002483904,15.06,False
12,300290,荣科科技,SZ,16.39,15.02,6.04,14.82,2.140,17.10,14.24,9476.89万,15.30亿,-82.72,13.5106,104.85亿,104.82亿,1000008104,15.02,False
13,300088,长信科技,SZ,7.77,14.10,6.32,30.35,0.960,8.17,6.82,7.54亿,58.11亿,16.99,2.2209,194.07亿,193.12亿,1000008059,14.10,False
14,300587,天铁科技,SZ,5.93,14.04,3.69,6.84,0.730,6.04,5.18,7195.11万,4.07亿,-33.19,3.2129,76.99亿,62.38亿,1000371141,14.04,False
15,300857,协创数据,SZ,319.00,13.65,1.58,9.80,38.310,320.92,282.00,3372.43万,102.63亿,23.71,25.8389,1104.13亿,1097.33亿,1001867298,13.65,False
16,300938,信测标准,SZ,51.19,12.38,2.32,14.74,5.640,54.66,44.67,3114.96万,15.50亿,15.87,6.6887,124.65亿,108.19亿,1000326705,12.38,False
17,301086,鸿富瀚,SZ,164.61,12.31,1.53,8.28,18.040,164.87,145.48,388.42万,6.08亿,36.50,7.5903,148.15亿,77.24亿,1002412428,12.31,False
18,301548,崇德科技,SZ,79.20,12.18,2.21,12.67,8.600,79.76,70.29,332.28万,2.49亿,16.88,4.5637,68.90亿,20.78亿,1002892095,12.18,False
19,301030,仕净科技,SZ,11.40,12.09,4.33,11.68,1.230,11.88,10.15,2360.51万,2.62亿,-2.56,2.7431,23.07亿,23.04亿,1002196464,12.09,False
20,300853,申昊科技,SZ,23.55,11.88,3.08,12.55,2.500,23.64,20.82,1233.36万,2.82亿,-6.71,5.6724,34.61亿,23.15亿,1001016827,11.88,False
21,688159,有方科技,SH,47.84,11.85,3.98,11.16,5.070,50.00,42.73,1035.08万,4.86亿,13.32,4.9452,44.45亿,44.36亿,1001016832,11.85,False
22,300270,中威电子,SZ,11.45,11.71,5.20,9.43,1.200,11.66,10.20,2461.14万,2.73亿,-20.01,6.1513,34.67亿,29.88亿,1000009892,11.71,False
23,300351,永贵电器,SZ,17.85,11.56,5.76,16.05,1.850,18.15,16.05,4228.41万,7.34亿,27.77,2.8265,69.42亿,47.02亿,1000013412,11.56,False
24,688500,慧辰股份,SH,53.66,11.56,4.27,6.80,5.560,54.75,48.15,498.65万,2.62亿,-23.40,5.5794,40.40亿,39.34亿,1001860442,11.56,False
25,300352,北信源,SZ,7.81,11.41,2.01,10.02,0.800,7.85,6.96,1.28亿,9.46亿,-17.04,9.1896,113.23亿,99.70亿,1000011877,11.41,False
26,301369,联动科技,SZ,173.82,11.20,1.52,8.42,17.510,176.90,156.00,306.19万,5.24亿,91.40,8.1140,122.67亿,63.21亿,1002399121,11.20,False
27,688678,福立旺,SH,29.20,10.86,2.30,11.70,2.860,29.80,26.56,3368.21万,9.48亿,38.07,3.7780,84.08亿,84.08亿,1002248726,10.86,False
