序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,年度股息率(%) 2025.12.31,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
1,603165,荣晟环保,SH,15.80,0.32,16.44,22.63,0.050,15.91,15.60,2.43,0.63,779.27万,1.23亿,5.66,1.9937,50.63亿,50.63亿,1000408499,False
2,600329,达仁堂,SH,41.15,-0.94,10.50,14.87,-0.390,41.50,41.00,0.51,0.92,289.94万,1.19亿,3.72,4.4636,316.89亿,233.36亿,1000001965,False
3,603508,思维列控,SH,24.34,0.21,9.43,16.69,0.050,24.36,24.16,0.86,0.72,328.32万,7962.91万,4.17,2.3175,92.80亿,92.80亿,1000316522,False
4,600219,南山铝业,SH,6.39,3.06,8.07,15.50,0.190,6.40,6.25,2.23,1.19,2.56亿,16.24亿,3.87,1.4798,733.81亿,733.81亿,1000000549,False
5,600066,宇通客车,SH,36.45,0.00,7.65,14.53,0.000,36.84,36.20,0.73,0.81,1612.78万,5.88亿,3.63,5.1723,806.98亿,806.98亿,1000001694,False
6,603303,得邦照明,SH,15.50,0.85,7.38,27.97,0.130,15.60,15.32,0.37,1.10,175.10万,2711.53万,6.99,2.3252,73.93亿,73.93亿,1000402180,False
7,002616,长青集团,SZ,5.80,1.58,7.33,17.78,0.090,5.85,5.70,2.07,0.85,1215.65万,7029.72万,4.44,1.3765,49.80亿,34.04亿,1000010133,False
8,601083,锦江航运,SH,12.77,-1.01,7.28,11.01,-0.130,12.91,12.66,5.64,0.86,1095.08万,1.39亿,2.75,1.7541,165.26亿,24.79亿,1003354127,False
9,600983,惠而浦,SH,10.79,0.09,7.01,15.91,0.010,10.88,10.69,1.26,0.77,966.45万,1.04亿,3.98,2.7785,82.70亿,82.70亿,1000002023,False
10,601339,百隆东方,SH,8.05,4.01,6.91,18.40,0.310,8.28,7.67,1.57,1.20,2350.68万,1.89亿,4.60,1.3120,120.72亿,120.72亿,1000008744,False
11,600398,海澜之家,SH,6.77,-0.15,6.78,15.01,-0.010,6.81,6.71,0.57,0.78,2741.09万,1.86亿,3.75,1.7746,325.15亿,325.15亿,1000001684,False
12,002007,华兰生物,SZ,15.07,0.33,6.61,29.29,0.050,15.12,14.91,0.63,1.01,996.97万,1.50亿,7.32,2.3946,275.40亿,237.08亿,1000001946,False
13,300770,新媒股份,SZ,40.80,1.59,6.60,14.08,0.640,40.80,40.17,1.13,1.21,258.00万,1.05亿,3.52,2.6039,92.96亿,92.96亿,1001232497,False
14,601919,中远海控,SH,14.92,-1.06,6.59,7.40,-0.160,15.12,14.87,0.65,1.28,8205.82万,12.27亿,1.85,0.9836,2284.65亿,1873.39亿,1000008452,False
15,002911,佛燃能源,SZ,13.68,-0.51,6.35,17.24,-0.070,13.72,13.48,0.81,0.97,1021.83万,1.39亿,4.31,3.5914,177.59亿,173.33亿,1000010917,False
16,601886,江河集团,SH,9.56,0.53,6.13,17.75,0.050,9.57,9.44,0.41,0.80,459.18万,4364.61万,4.44,1.4830,108.32亿,108.32亿,1000008038,False
17,600015,华夏银行,SH,7.21,-0.83,6.11,4.22,-0.060,7.28,7.17,0.30,1.10,4688.10万,3.38亿,1.05,0.3634,1147.47亿,1109.42亿,1000009999,False
18,002818,富森美,SZ,10.81,0.65,6.03,14.57,0.070,10.88,10.70,0.91,1.47,270.40万,2915.88万,3.64,1.4476,80.91亿,32.25亿,1000308881,False
19,002170,芭田股份,SZ,13.87,3.12,5.99,14.77,0.420,13.96,13.55,5.15,1.26,4056.10万,5.60亿,3.69,3.5813,134.59亿,109.17亿,1000006770,False
20,605098,行动教育,SH,63.27,5.19,5.99,23.58,3.120,64.37,61.36,5.29,4.06,630.31万,3.95亿,5.90,7.4669,75.45亿,75.45亿,1001030444,False
21,002032,苏 泊 尔,SZ,45.65,0.15,5.97,17.45,0.070,46.08,45.48,0.18,0.86,146.53万,6710.77万,4.36,5.8218,365.89亿,365.74亿,1000002071,False
22,600750,华润江中,SH,27.28,1.79,5.96,19.12,0.480,27.65,26.62,0.93,1.26,581.65万,1.58亿,4.78,4.3006,173.40亿,171.51亿,1000002183,False
23,600502,安徽建工,SH,5.83,-0.51,5.76,6.56,-0.030,5.99,5.78,3.40,0.74,5835.95万,3.43亿,1.64,0.8388,100.07亿,100.07亿,1000001710,False
24,600295,鄂尔多斯,SH,15.24,1.60,5.66,18.05,0.240,15.39,14.87,0.70,0.84,1385.06万,2.11亿,4.51,1.9573,426.53亿,301.08亿,1000001421,False
25,002884,凌霄泵业,SZ,18.84,0.37,5.65,14.81,0.070,19.29,18.73,1.98,0.79,541.75万,1.02亿,3.70,2.7893,67.39亿,51.45亿,1000576708,False
26,600575,淮河能源,SH,3.66,-0.54,5.59,15.45,-0.020,3.69,3.63,1.24,1.25,4802.67万,1.75亿,3.86,1.1936,262.30亿,142.24亿,1000001707,False
27,002563,森马服饰,SZ,5.24,0.77,5.54,15.82,0.040,5.25,5.17,0.75,1.25,1649.39万,8588.68万,3.95,1.2393,141.17亿,115.65亿,1000008855,False
28,000423,东阿阿胶,SZ,55.63,0.61,5.50,20.60,0.340,55.81,54.84,0.92,0.88,588.24万,3.26亿,5.15,3.4659,358.24亿,357.62亿,1000001763,False
